X,Y,index,h3_resolution,post_offices_count,postal_bank_count,road_length_km,cell_towers_count,population_count
-45.2074753629234,-15.1299482438022,84a8d27ffffffff,4,0,0,690.702931575078,,2682.94998433441
-49.9846349488925,-2.74594663985941,8480607ffffffff,4,0,0,611.668280714202,,5903.80565745011
-62.6849448157652,3.21453118910812,848ad9bffffffff,4,0,0,0,,196.957257546117
-60.5332097211613,-6.67171887093099,848a115ffffffff,4,0,0,0,,354.269831849728
-49.6198373841852,-14.6202897390834,84a8dd9ffffffff,4,1,4,2628.26389231422,35,14843.0891624689
-48.102276508563,-12.8933950795036,84a8dbdffffffff,4,0,1,984.129384768231,2,2325.30979057401
-51.1805133429466,-13.3176708241604,84a8cbdffffffff,4,0,0,326.329328850064,,416.410413687583
-45.6388078232784,-8.6578373019955,848156bffffffff,4,0,1,840.79471796895,10,6567.94166801125
-57.186951160255,-3.92222889066141,848a819ffffffff,4,0,0,0.720163287339483,,4422.1548679423
-68.7725338482098,1.18306678394028,8466591ffffffff,4,0,0,0,,400.891309325627
-47.7213532512433,-9.76162657957548,848173bffffffff,4,0,1,1701.10847527323,8,5629.5730014164
